"category";"front";"back";"example"
"phrasal verb";"secure an agreement.";"nail down";"the company has finally nailed down the agreement with its distributors"
"phrasal verb";"send someone somewhere without much warning or notice.";"pack off";"I was packed off to hospital for surgery"
"phrasal verb";"send something by post.";"get off";"I must get these letters off first thing tomorrow"
"phrasal verb";"separate something and keep it for a special purpose.";"set apart";"there were books and rooms set apart as libraries"
"phrasal verb";"settle accounts with someone.";"reckon with";"I reckoned with my master, and I think I had a shilling and some few halfpence to take"
"phrasal verb";"spend time aimlessly; wait around.";"hang around";"undercover officers spent most of their time hanging around"
"phrasal verb";"spend time doing stupid or unimportant things.";"piss around";""
"phrasal verb";"start discussing a subject extensively.";"get into";"I don't want to get into it until we have more concrete information"
"phrasal verb";"stay away.";"keep away";"keep away from the edge of the cliff"
"phrasal verb";"stay hidden by crouching or lying down.";"keep down";"Keep down! There's someone coming"
"phrasal verb";"steal something.";"walk away with";"a group of corporate cowboys who walked away with millions of dollars"
"phrasal verb";"stop to collect someone at the place where they are living or working.";"call for";"I'll call for you around seven"
"phrasal verb";"strongly remind someone of a past time.";"take back";"the film took me back to my childhood"
"phrasal verb";"succeed in killing, destroying, or defeating.";"account for";"a mishit drive accounted for Jones, who had scored 32"
"phrasal verb";"suffer lack or deprivation.";"go without";"I like to give my children what they want, even if I have to go without"
"phrasal verb";"summon someone to deal with an emergency or provide a service.";"call out";"patients are to be told to stop calling doctors out unnecessarily at night"
"phrasal verb";"supply or make up a specified amount or proportion.";"account for";"social security accounts for about a third of total public spending"
"phrasal verb";"swallow food or drink, especially with difficulty.";"get down";"I began to regain my appetite and managed to get some food down"
"phrasal verb";"tackle or attack someone forcefully or aggressively.";"have at";"somehow we thought we had to have at each other"
"phrasal verb";"take revenge on someone.";"pay back";"when someone does you wrong, the first instinct is to pay them back for hurting you"
"phrasal verb";"take something into account.";"reckon with";"they hadn't reckoned with a visit from Charles"
"phrasal verb";"take the lead or make good progress.";"forge ahead";"it may be that exports are forging ahead whilst home sales sag"
"phrasal verb";"take up an attitude of confrontation, especially at the start of a fight or game.";"face off";"close to a million soldiers face off in the desert"
"phrasal verb";"talk lengthily, assertively, or tediously about a subject.";"hold forth";"a famous poet was holding forth, surrounded by admiring young writers and critics"
"phrasal verb";"tell someone about something, especially in order to ascertain their opinion or reaction.";"run by";"I'll have to run it past Claire first"
"phrasal verb";"tend to result in or be received as a particular thing.";"make for";"job descriptions never make for exciting reading"
"phrasal verb";"transfer figures to a new page or account.";"carry forward";"they allowed the deficit to be carried forward"
"phrasal verb";"transfer figures to a new page or account.";"carry over";"only 47 per cent said they carried a balance over from one month to the next"
"phrasal verb";"transfer text to the next line.";"take over";""
"phrasal verb";"transfer the possession of something to someone.";"make over";"if he dies childless he is to make over his share of the estate to his brother"
"phrasal verb";"treat or deal with someone in a specified way.";"do by";"he slipped away almost unnoticed, leaving Matt feeling that somehow they had done badly by the old man"
"phrasal verb";"turn one's head or body around sharply.";"screw around";"he screwed his head around to try and find the enemy"
"phrasal verb";"used to express disbelief or scepticism.";"get away";"‘I am Spanish.’ ‘Get away.’ ‘I am. I can prove it.’"
"phrasal verb";"used to express disbelief or scepticism.";"get away";"‘I am Spanish.’ ‘Get away.’ ‘I am. I can prove it.’"
"phrasal verb";"used to express scepticism or disbelief or to tell someone to go away.";"get along";"oh, get along with you!"
"phrasal verb";"vigorously tackle or begin to deal with something.";"pitch into";"I pitched into the chores with a light heart"
"phrasal verb";"visit someone's house.";"come round";"Marcus starts coming round to Will's to watch TV and hang out"
"phrasal verb";"walk round a place or building in order to view any interesting features.";"look round";"he spent the day looking round Edinburgh"
"phrasal verb";"wear something away; gradually erode something.";"eat away";"the bacteria produce an acid that eats away the enamel coating that protects teeth"
"phrasal verb";"will or would not allow or agree to something.";"hear of";"I won't hear of such idiocy"
"phrasal verb";"win after lagging.";"come from behind";""
"phrasal verb";"win an award or prize.";"walk away with";"the team walked away with the gold medal"
"phrasal verb";"with the face or surface turned towards the ground.";"face down";"he lay face down on his bed"
"phrasal verb";"withdraw a claim or assertion in the face of opposition.";"back down";"party leaders backed down and rescinded the resolution"
"phrasal verb";"withdraw from a commitment.";"back out";"if he backs out of the deal they'll sue him"
"phrasal verb";"work or perform in a perfunctory or unenthusiastic manner.";"mail it in";"on a team that otherwise mailed it in, she played this game hard"
"phrasal verb";"write down spoken words.";"take down";"I took down the address"
"phrasal verb";"write something down.";"get down";"it's so obvious, but I wanted to get it down on paper"
"verb + preposition";"absorb";"in";"He is absorbed in his book."
"verb + preposition";"account";"for";""
"verb + preposition";"accuse";"of -ing";""
"verb + preposition";"acquaint";"with";""
"verb + preposition";"add";"to";""
"verb + preposition";"admit";"to";""
"verb + preposition";"agree";"on/with";"I agree with you that pizza is the best food.\nI agree with your approach.\nEveryone agree on this topic."
"verb + preposition";"allow";"for";""
"verb + preposition";"answer";"to";""
"verb + preposition";"apologize";"for/to";"He apologizes for something to someone"
"verb + preposition";"appeal";"to";""
"verb + preposition";"argue";"about";"Arguing about something"
"verb + preposition";"arrive";"in";""
"verb + preposition";"ask";"about/for/to";"He asks about someone: he want to get news.\nHe asks for a tool.\nHe ask to do something."
"verb + preposition";"associate";"with";""
"verb + preposition";"attend";"to";""
"verb + preposition";"attribute";"to";""
"verb + preposition";"bar";"from";"He bars his kid from watching TV."
"verb + preposition";"base";"on";"I base my opinion on science."
"verb + preposition";"be";"for";"I am for the red team."
"verb + preposition";"believe";"in";""
"verb + preposition";"belong";"to";""
"verb + preposition";"benefit";"from";""
"verb + preposition";"blame";"for";"I blame you for the broken glass."
"verb + preposition";"boast";"about";"He boasts about his new car."
"verb + preposition";"borrow";"from";""
"verb + preposition";"care";"about/for";"He cares about me.\nHe doesn't care for playing football."
"verb + preposition";"charge";"for/with";"Charging for money.\nCharging with a crime."
"verb + preposition";"choose";"from";""
"verb + preposition";"clutter";"with";"The apartment is clusttered with trash"
"verb + preposition";"coincide";"with";""
"verb + preposition";"collide";"with";""
"verb + preposition";"come";"from";""
"verb + preposition";"comment";"on";""
"verb + preposition";"commit";"to";""
"verb + preposition";"compare";"with";""
"verb + preposition";"complain";"to";""
"verb + preposition";"comply";"with";""
"verb + preposition";"concentrate";"on";""
"verb + preposition";"confess";"to";""
"verb + preposition";"confide";"in";"He confides in his best friend."
"verb + preposition";"confront";"with";""
"verb + preposition";"confuse";"with";""
"verb + preposition";"congratuate";"for";""
"verb + preposition";"congratulate";"on";""
"verb + preposition";"contribute";"to";""
"verb + preposition";"count";"for/on";"counting on someone.\nYour action count for something."
"verb + preposition";"cover";"with";""
"verb + preposition";"cram";"with";"My bag is crammed with groceries."
"verb + preposition";"deal";"with";""
"verb + preposition";"decide";"about";""
"verb + preposition";"depend";"on";""
"verb + preposition";"derive";"from";""
"verb + preposition";"deter";"from";"He deters his children from biking to school."
"verb + preposition";"devote";"to";""
"verb + preposition";"differ";"from";""
"verb + preposition";"discuss";"with";""
"verb + preposition";"distinguish";"from";""
"verb + preposition";"distract";"from";""
"verb + preposition";"dream";"about";""
"verb + preposition";"earmark";"for";"The government earmarks 1 million for education."
"verb + preposition";"elaborate";"on";""
"verb + preposition";"emerge";"from";""
"verb + preposition";"escape";"from";""
"verb + preposition";"excuse";"for";""
"verb + preposition";"exempt";"from";""
"verb + preposition";"expel";"from";""
"verb + preposition";"explain";"to";""
"verb + preposition";"forbid";"from";""
"verb + preposition";"forget";"about";""
"verb + preposition";"forgive";"for";""
"verb + preposition";"gradutate";"from";""
"verb + preposition";"happen";"to";""
"verb + preposition";"hear";"from";""
"verb + preposition";"help";"with";""
"verb + preposition";"hide";"from";""
"verb + preposition";"implicate";"in";""
"verb + preposition";"impose";"on";"He imposes restrictions on his child."
"verb + preposition";"insist";"on";""
"verb + preposition";"introduce";"to";""
"verb + preposition";"invite";"to";""
"verb + preposition";"involve";"in";""
"verb + preposition";"keep";"for";""
"verb + preposition";"know";"about";""
"verb + preposition";"laugh";"about";""
"verb + preposition";"listen";"to";""
"verb + preposition";"matter";"to";""
"verb + preposition";"meet";"with";""
"verb + preposition";"object";"to";""
"verb + preposition";"pack";"with";""
"verb + preposition";"participate";"in";""
"verb + preposition";"pay";"for";""
"verb + preposition";"play";"on";""
"verb + preposition";"plead";"with";"He pleads with his parent to give him money."
"verb + preposition";"prefer";"to";""
"verb + preposition";"prepare";"for";""
"verb + preposition";"prevent";"from";""
"verb + preposition";"pride";"on";""
"verb + preposition";"prohibit";"from";""
"verb + preposition";"protect";"from";""
"verb + preposition";"protest";"about";""
"verb + preposition";"provide";"with";""
"verb + preposition";"react";"to";""
"verb + preposition";"recover";"from";""
"verb + preposition";"refer";"to";""
"verb + preposition";"refrain";"from";""
"verb + preposition";"rely";"on";""
"verb + preposition";"rescue";"from";""
"verb + preposition";"resign";"from";""
"verb + preposition";"resort";"to";""
"verb + preposition";"respond";"to";""
"verb + preposition";"rest";"from";""
"verb + preposition";"result";"from/in";"It results from hard work.\nThe disease results in his death."
"verb + preposition";"save";"from";""
"verb + preposition";"scold";"for";"He scolds his kid for his bad behavior."
"verb + preposition";"scream";"at";""
"verb + preposition";"search";"for";""
"verb + preposition";"see";"to";"I see to these tasks."
"verb + preposition";"separate";"from";""
"verb + preposition";"shout";"at/to";"at for aggressive, to normal"
"verb + preposition";"speak";"to/with";""
"verb + preposition";"specialise";"in";""
"verb + preposition";"stem";"from";""
"verb + preposition";"stop";"from";""
"verb + preposition";"subject";"to";""
"verb + preposition";"substitute";"for";""
"verb + preposition";"substract";"from";""
"verb + preposition";"succeed";"in";""
"verb + preposition";"suffer";"from";""
"verb + preposition";"talk";"to";""
"verb + preposition";"tamper";"with";""
"verb + preposition";"thank";"for";""
"verb + preposition";"think";"about";""
"verb + preposition";"throw";"at/to";"at for aggressive, to normal"
"verb + preposition";"trust";"in";"trust in something: having strong believe.\nI trust you with my life."
"verb + preposition";"vote";"for";""
"verb + preposition";"vouch";"for";""
"verb + preposition";"wait";"for";""
"verb + preposition";"wish";"for";""
"verb + preposition";"work";"for/on";"He works for a company.\nHe works on a new project."
"verb + preposition";"worry";"about";""
